Feature,Importance
TotalCharges,0.18684115006415125
MonthlyCharges,0.17919226098301294
tenure,0.15433760564118654
Contract,0.07963072887502746
PaymentMethod,0.05009507339461352
OnlineSecurity,0.04958003359487594
TechSupport,0.04360263427788454
gender,0.02789159664415226
InternetService,0.02778900370451059
OnlineBackup,0.02707521810441292
PaperlessBilling,0.02576723458735502
MultipleLines,0.02344914683861443
Partner,0.022725518297012706
DeviceProtection,0.021444616340678437
SeniorCitizen,0.021096539554369236
Dependents,0.019836461463534755
StreamingMovies,0.017632276183930807
StreamingTV,0.016803965985266588
PhoneService,0.005208935465410059
